login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
sejalv,sejalv/CD4ML-Scenarios,2020-06-10T09:34:47Z,0,0,,True,True,MIT License
chrxh,chrxh/alien,2020-10-19T15:59:01Z,4894,4894,C++,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
al2na,al2na/23andme2vcf,2016-09-02T20:23:19Z,1,1,Perl,True,True,MIT License
mr-c,mr-c/2012-paper-diginorm,2013-07-13T06:07:26Z,0,0,Python,True,True,None
yogmel,yogmel/advanced-css-course,2018-06-25T18:01:50Z,0,0,CSS,True,True,None
DenisovAV,DenisovAV/ai_fireside_chat,2024-03-26T09:18:05Z,17,17,Dart,True,True,None
arianvp,arianvp/2016-CPD,2016-11-15T12:07:33Z,0,0,HTML,True,True,None
mishushakov,mishushakov/4pda-export,2020-04-28T14:09:00Z,0,0,JavaScript,False,False,MIT License
adrianheine,adrianheine/acorn-jsx,2018-02-07T15:47:19Z,0,0,JavaScript,True,True,MIT License
thyrlian,thyrlian/ACES,2017-07-06T06:20:11Z,2,2,HTML,True,True,MIT License
lorey,lorey/amas,2016-01-06T22:59:01Z,2,2,,True,False,None
unnamedd,unnamedd/30-seconds-of-swift-code,2018-11-23T22:35:38Z,0,0,Swift,True,True,None
septag,septag/10x,2021-09-30T13:25:50Z,0,0,Python,True,True,None
asaaki,asaaki/advent-of-code-2019,2019-12-02T16:18:42Z,2,2,Rust,False,False,MIT License
Fouloscopie,Fouloscopie/robotique,2021-04-15T19:39:07Z,39,39,MATLAB,True,True,None
marktani,marktani/52-technologies-in-2016,2016-12-25T10:58:24Z,1,1,JavaScript,True,True,MIT License
alanakbik,alanakbik/alanakbik,2023-03-22T23:33:54Z,0,0,,True,True,None
nomicode,nomicode/.github,2024-10-11T16:06:50Z,0,0,Makefile,False,False,The Unlicense
talitaoliveira,talitaoliveira/33DiasSemMachismo,2017-06-03T14:37:20Z,31,31,TypeScript,True,True,None
sacridini,sacridini/ann,2018-02-13T21:17:30Z,0,0,C++,True,True,None
Licenser,Licenser/.github,2020-06-30T12:10:04Z,0,0,,True,False,None
Khaledgarbaya,Khaledgarbaya/11ty-contentful-starter,2020-12-24T22:29:45Z,0,0,,True,False,MIT License
s1monw,s1monw/booleanparser,2015-06-03T09:23:32Z,0,0,Java,True,True,"BSD 2-Clause ""Simplified"" License"
angelikatyborska,angelikatyborska/a11y-audit-elixir,2023-10-30T17:12:26Z,47,47,Elixir,True,False,MIT License
bennycode,bennycode/.github,2021-09-10T14:52:33Z,0,0,,True,True,None
Kovah,Kovah/apollo-backend,2023-06-09T15:00:51Z,0,0,,True,True,None
mrflix,mrflix/Alignment-Guides,2012-07-19T19:23:06Z,108,108,,True,True,None
sorenbs,sorenbs/akka-http-cors,2017-03-19T16:24:30Z,1,1,Scala,True,False,Apache License 2.0
tsterbak,tsterbak/auto-sklearn,2016-01-26T21:12:22Z,0,0,Python,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
rixx,rixx/100.rixx.de,2021-12-15T14:08:12Z,0,0,HTML,True,True,None
reuben,reuben/Aaapptabs,2011-11-17T23:08:00Z,1,1,JavaScript,True,True,None
RosaWagner,RosaWagner/Borel,2023-02-09T09:16:21Z,128,128,,True,True,SIL Open Font License 1.1
rivo,rivo/duplo,2015-03-07T07:41:32Z,392,392,Go,True,True,MIT License
lucaong,lucaong/ablab,2015-12-20T23:36:46Z,7,7,Ruby,True,True,MIT License
dpreussler,dpreussler/android-async-http,2017-02-24T13:06:58Z,0,0,Java,True,True,None
fabsx00,fabsx00/bjoern-old,2014-11-17T11:20:33Z,13,13,C++,True,True,GNU General Public License v3.0
sotte,sotte/ai_class_python_intro,2014-10-22T19:18:04Z,0,0,Python,True,True,None
janmonschke,janmonschke/Angular-Book,2014-04-17T12:45:48Z,0,0,JavaScript,True,True,None
MKRLancer,MKRLancer/abhaypawar,2023-02-23T02:08:01Z,2,2,,True,True,None
candostdagdeviren,candostdagdeviren/awesome-ios,2016-11-15T18:41:23Z,0,0,Swift,True,False,MIT License
kenshinji,kenshinji/.dotfiles,2016-06-20T05:40:30Z,0,0,Lua,True,True,None
lstoll,lstoll/.atom,2014-02-28T20:27:54Z,3,3,CoffeeScript,True,True,None
spacecowb0y,spacecowb0y/active_admin,2012-07-08T16:54:10Z,0,0,Ruby,True,True,Other
denisdefreyne,denisdefreyne/512kb.club,2024-01-20T09:07:37Z,0,0,,True,True,MIT License
jmattheis,jmattheis/AntWars,2015-11-02T09:52:36Z,1,1,C#,True,True,None
cmichi,cmichi/android-wear-color-picker,2016-01-26T16:51:10Z,0,0,Java,True,True,None
Sly777,Sly777/after-dark,2017-03-03T19:16:28Z,1,1,HTML,True,True,MIT License
OskarStark,OskarStark/action-yaml-format,2022-11-04T08:51:57Z,0,0,,True,False,MIT License
esoxjem,esoxjem/Algorithms,2013-10-10T02:47:55Z,16,16,Kotlin,True,True,None
saschanaz,saschanaz/8sync,2023-02-28T16:03:25Z,0,0,Scheme,True,True,GNU Lesser General Public License v3.0
clovisdasilvaneto,clovisdasilvaneto/.github,2020-06-16T08:02:51Z,1,1,,True,True,None
montogeek,montogeek/2016-website,2016-12-01T13:55:28Z,0,0,HTML,True,True,None
Letty,Letty/amazon,2018-11-30T16:51:20Z,83,83,HTML,True,True,GNU General Public License v3.0
autophagy,autophagy/advent-of-code-2021,2021-12-02T10:54:15Z,0,0,Haskell,True,True,MIT License
marcobiedermann,marcobiedermann/actions,2023-01-23T14:45:12Z,1,1,,False,False,MIT License
efemoney,efemoney/adc-week3-bloom,2021-03-13T02:33:36Z,0,0,Kotlin,True,True,Apache License 2.0
niderhoff,niderhoff/bandcamp,2023-03-31T17:21:52Z,0,0,Python,True,True,None
marinho,marinho/2d-extras,2021-05-24T13:47:16Z,1,1,,True,True,Other
omergulen,omergulen/2019,2019-03-25T18:04:29Z,0,0,,True,True,None
kimar,kimar/Acdum,2013-02-23T10:34:17Z,0,0,Objective-C,True,True,None
progapandist,progapandist/anycable_rails_demo,2020-07-13T13:22:07Z,12,12,Ruby,True,False,MIT License
aarlt,aarlt/autobahn-cpp,2022-02-06T03:02:09Z,0,0,C++,True,True,Boost Software License 1.0
devonestes,devonestes/absinthe,2020-01-22T07:47:36Z,0,0,,True,True,Other
manuelbieh,manuelbieh/amazon-helpers,2015-09-14T23:41:42Z,9,9,JavaScript,True,True,None
irh,irh/adjacent_for_each,2013-02-10T11:32:01Z,0,0,C++,True,True,None
hartwork,hartwork/aiohappyeyeballs-fork,2024-07-31T20:57:42Z,0,0,,True,False,Other
s-soroosh,s-soroosh/12factor,2017-08-29T14:34:12Z,0,0,CSS,True,False,MIT License
lukasoppermann,lukasoppermann/archive,2017-06-08T06:58:11Z,0,0,PHP,True,True,None
joseliacosta,joseliacosta/2016,2016-06-27T14:57:16Z,1,1,HTML,True,True,MIT License
Rebaiahmed,Rebaiahmed/30-days-of-react-native,2017-05-10T17:37:02Z,0,0,JavaScript,True,True,None
polarity,polarity/5Apps-Feedback-Tool,2012-04-02T16:45:24Z,0,0,JavaScript,True,True,None
szaimen,szaimen/aio-borgbackup-viewer,2024-06-27T13:52:23Z,0,0,Dockerfile,True,True,GNU Affero General Public License v3.0
fmeyer,fmeyer/.spacemacs,2016-01-10T23:10:19Z,0,0,Emacs Lisp,True,True,None
hanakamer,hanakamer/ab-kurs-kayit,2016-08-21T16:41:20Z,0,0,JavaScript,True,True,GNU General Public License v2.0
Kriesse,Kriesse/2015.jsconf.eu,2015-01-26T18:05:26Z,0,0,CSS,True,True,None
geekdada,geekdada/1password-teams-open-source,2023-01-19T14:21:41Z,2,2,,True,False,None
mlegy,mlegy/Akka-Notes-in-JAVA,2015-08-31T16:10:35Z,0,0,Java,True,True,Other
mirshko,mirshko/49friends.party,2020-03-16T23:53:34Z,1,1,HTML,False,False,None
Dylan-DPC-zz,Dylan-DPC-zz/acl,2017-12-30T13:08:26Z,0,0,PHP,True,True,MIT License
linki,linki/0x-go,2018-03-04T17:11:03Z,9,9,Go,True,True,MIT License
danielpaulus,danielpaulus/agent_test,2024-10-12T14:43:12Z,0,0,TypeScript,True,True,None
keremciu,keremciu/99-problems-graphql-aint-one,2019-11-13T17:28:19Z,0,0,,True,True,None
aep,aep/aep.github.io,2015-05-17T22:05:21Z,0,0,HTML,True,True,None
stanislaw,stanislaw/AFNetworkingLogger,2013-09-25T23:42:55Z,25,25,Objective-C,True,True,MIT License
msoos,msoos/3dVis,2019-02-16T22:37:03Z,3,3,C++,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
BenchR267,BenchR267/benchr267.github.io,2020-05-13T08:32:25Z,1,1,HTML,True,True,None
chrippa,chrippa/aioxmmsclient,2014-04-19T15:42:41Z,0,0,Python,True,True,MIT License
Goldziher,Goldziher/axios-simple-cache-adapter,2021-11-02T21:16:30Z,11,11,TypeScript,True,True,MIT License
bashofmann,bashofmann/admin-ui,2021-08-12T16:00:34Z,0,0,,True,False,None
phazonoverload,phazonoverload/2018.goldsmiths.tech,2021-12-02T10:06:43Z,0,0,CSS,True,True,None
moiseshorta,moiseshorta/ADD-audio-dataset-downloader,2023-04-24T15:23:54Z,28,28,Python,True,True,GNU General Public License v3.0
Mark2Mark,Mark2Mark/alfred-volume-control,2024-01-31T16:04:45Z,0,0,Python,True,True,Apache License 2.0
jenskutilek,jenskutilek/AnchorOverlayTool,2013-11-27T11:49:50Z,4,4,Python,True,False,None
v-thakkar,v-thakkar/async-profiler,2023-01-04T10:55:23Z,0,0,C++,True,True,Apache License 2.0
343max,343max/27c3-Planer,2010-12-25T17:37:59Z,3,3,JavaScript,True,True,None
LukasReschke,LukasReschke/airship,2016-07-13T21:35:30Z,0,0,PHP,True,False,Other
joaomilho,joaomilho/apalachin,2013-10-26T22:42:30Z,38,38,Erlang,True,True,None
akrennmair,akrennmair/activitylog,2012-09-12T21:25:41Z,1,1,JavaScript,True,True,None
kirel,kirel/angular-nvd3,2015-03-11T16:46:16Z,0,0,JavaScript,True,True,MIT License
mschneider,mschneider/ae,2022-03-20T09:55:49Z,4,4,TypeScript,True,True,None
oleiade,oleiade/advent-of-code,2022-12-01T17:51:07Z,0,0,Rust,True,True,MIT License
robinpokorny,robinpokorny/1-liners,2016-04-11T12:09:30Z,0,0,JavaScript,True,True,MIT License
AbdullahBakir97,AbdullahBakir97/2050-Bootstrap-Landing-page,2023-05-15T19:14:17Z,12,12,HTML,True,True,None
PavelLaptev,PavelLaptev/AR.js,2017-11-06T18:40:10Z,0,0,JavaScript,True,True,MIT License
froschi,froschi/barnyard2,2012-10-25T09:11:08Z,0,0,C,True,True,GNU General Public License v2.0
tmylk,tmylk/ai-comedy-club,2023-06-26T16:49:55Z,0,0,,True,True,None
EmaSuriano,EmaSuriano/100-days-of-code,2018-02-18T21:58:42Z,0,0,,True,True,None
philippkuehn,philippkuehn/collect.js,2019-08-07T08:49:09Z,1,1,JavaScript,True,True,MIT License
LeonardoCardoso,LeonardoCardoso/Android-Audio-Preview,2014-05-24T23:05:56Z,2,2,Java,False,False,Apache License 2.0
JeroenDeDauw,JeroenDeDauw/a4g,2011-05-08T14:34:39Z,1,1,JavaScript,True,True,Other
zeenix,zeenix/accesskit,2024-06-18T22:42:16Z,0,0,,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
Musti4096,Musti4096/akmustafa.github.io,2020-10-15T11:12:18Z,0,0,CSS,True,True,None
finnp,finnp/a11y-talk,2015-04-16T16:05:15Z,0,0,,True,True,None
vecna,vecna/apmislay,2012-04-12T12:18:03Z,22,22,C,True,True,None
alfredfrancis,alfredfrancis/ai-chatbot-framework,2016-12-16T19:10:56Z,1969,1969,Python,True,True,MIT License
MichaelKohler,MichaelKohler/action-add-issue-to-project-column,2022-04-28T17:13:08Z,0,0,,True,True,None
helmuthdu,helmuthdu/100-days-flutter,2019-05-31T17:50:05Z,2,2,Dart,True,True,MIT License
polykit,polykit/3d-printed-microphone,2024-02-16T15:53:55Z,1,1,OpenSCAD,True,True,None
harshil1712,harshil1712/.NET-console-apps,2019-01-23T18:32:20Z,0,0,C#,True,True,None
0mp,0mp/0mp-overlay,2020-01-28T14:02:55Z,0,0,Makefile,True,True,None
illume,illume/3d-game-shaders-for-beginners,2021-04-25T10:09:10Z,1,1,,True,False,"BSD 3-Clause ""New"" or ""Revised"" License"
robinboehm,robinboehm/2018.jsconf.eu,2018-12-14T19:47:40Z,0,0,HTML,True,True,None
katiayn,katiayn/100-days-of-code,2017-01-04T00:46:39Z,0,0,,True,True,None
kurasu,kurasu/customlauncher,2023-06-09T13:25:08Z,0,0,Kotlin,True,False,None
tunavargi,tunavargi/arguman.org,2015-10-11T11:51:22Z,0,0,Python,True,True,MIT License
miconda,miconda/atom-extensions,2015-11-25T20:02:48Z,10,10,,True,True,GNU General Public License v2.0
mohsenoid,mohsenoid/ABCs,2023-05-01T18:46:19Z,0,0,Kotlin,True,True,Apache License 2.0
tmspzz,tmspzz/adventofcode,2019-12-01T14:05:59Z,1,1,Haskell,True,True,MIT License
mrchrisadams,mrchrisadams/12factor,2013-02-18T20:40:33Z,0,0,Ruby,True,True,MIT License
rockstaedt,rockstaedt/commit-message-check,2022-12-15T16:28:19Z,7,7,Go,False,False,MIT License
tanvir002700,tanvir002700/Algorithm,2015-03-27T08:12:46Z,4,4,C++,True,True,None
cristianoliveira,cristianoliveira/api-boilerplate,2017-02-19T14:43:09Z,1,1,Go,True,True,None
HeyPouya,HeyPouya/AndroidAdvancedFarvardin98,2019-04-17T15:51:28Z,1,1,Java,True,True,None
mymindishazel,mymindishazel/awesome-age,2023-07-02T20:53:53Z,0,0,,True,False,None
codeliner,codeliner/aggregate-state,2015-09-14T19:40:07Z,2,2,PHP,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
rishimohan,rishimohan/Awesome-Black-Friday-Cyber-Monday,2022-11-23T12:01:10Z,0,0,,True,True,None
myobie,myobie/30days30snapshots,2014-11-19T15:29:50Z,0,0,Clojure,True,True,None
chris-rock,chris-rock/acme-inspec-profile,2016-10-05T18:37:05Z,3,3,Ruby,True,True,Apache License 2.0
khanzadimahdi,khanzadimahdi/acme-key-rollover,2024-08-23T21:21:20Z,0,0,Go,True,True,None
sunsided,sunsided/accelerometer.rs,2024-06-30T09:10:23Z,0,0,,True,True,Apache License 2.0
fabianfett,fabianfett/amazonlinux-swift,2019-12-12T19:53:46Z,26,26,Dockerfile,False,False,None
MedRedha,MedRedha/30-Days-Of-JavaScript,2022-03-12T22:41:08Z,2,2,,True,True,None
durannumit,durannumit/AnadoluGundem,2017-01-24T23:35:50Z,0,0,JavaScript,True,True,None
divyenduz,divyenduz/backup-scheduler,2022-12-30T19:13:13Z,17,17,JavaScript,True,True,None
cornelius,cornelius/20-years-of-KDE,2016-07-26T20:13:01Z,0,0,TeX,True,True,None
anna-carroll,anna-carroll/3074,2023-11-26T20:54:33Z,29,29,Solidity,True,False,None
pierluigiferrari,pierluigiferrari/behavioral_cloning_for_vehicle_steering,2017-02-13T15:17:27Z,7,7,Python,True,True,None
Fluepke,Fluepke/ansible-module-powerdns,2019-04-28T17:34:58Z,1,1,Python,True,True,Apache License 2.0
adewes,adewes/32c3,2015-12-30T11:45:27Z,1,1,Jupyter Notebook,True,True,None
Schaeff,Schaeff/AdventOfRust2020,2020-12-03T16:58:18Z,0,0,Rust,True,True,None
luqmanoop,luqmanoop/1loc,2021-11-27T08:19:37Z,1,1,,True,True,MIT License
BenjaminBossan,BenjaminBossan/accelerate,2022-03-09T22:28:16Z,1,1,Python,True,True,Apache License 2.0
amn41,amn41/bash_plus_kernel,2019-03-27T16:52:29Z,0,0,Python,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
adzialocha,adzialocha/8bit,2016-07-08T13:35:57Z,50,50,Assembly,False,False,None
natalyapeixoto,natalyapeixoto/aprendendo-git-e-github,2019-03-08T19:45:31Z,1,1,HTML,True,True,None
znarf,znarf/adjust-sourcemap-loader,2020-04-13T14:00:36Z,0,0,,True,False,None
mikiobraun,mikiobraun/awesome-leading-and-managing,2019-02-20T13:27:08Z,0,0,,True,True,None
ogoffart,ogoffart/cargo,2023-09-29T09:05:44Z,0,0,,True,True,Apache License 2.0
